Year,MNO,RFNSA ID,Latitude,Longitude,NBIoT700,UMTS900,UMTS2100,LTE700,LTE900,LTE1800,LTE2100,LTE2300,LTE2600,NR900,NR2100,NR2300,NR3500,NR26000,Co_funded,Co_contribution_program,Round
2024,Optus,800005,-12.459939,130.840769,Y,Y,,Y,,,Y,,Y,,,,,,,,
2024,Optus,800006,-12.459022,130.836967,Y,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,800007,-12.463811,130.843664,Y,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,800020,-12.465479,130.847157,Y,Y,,Y,,,Y,,Y,,,,,,,,
2024,Optus,800023,-12.447816,130.830832,Y,,,Y,,Y,Y,,Y,,Y,,,,,,
2024,Optus,801001,-12.46523,130.84203,Y,Y,,Y,,,Y,,Y,,,,,,,,
2024,Optus,810001,-12.383522,130.856862,Y,Y,,Y,,,Y,,,,,,,,,,
2024,Optus,810002,-12.355865,130.882125,Y,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,810004,-12.372902,130.881827,Y,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,810005,-12.38935,130.848997,Y,Y,,Y,,Y,Y,,,,,,,,,,
2024,Optus,810006,-12.373951,130.867651,Y,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,810007,-12.386658,130.885011,Y,Y,,Y,,,Y,,Y,,,,,,,,
2024,Optus,810012,-12.393101,130.869389,Y,Y,,Y,,,Y,,,,,,,,,,
2024,Optus,810013,-12.400584,130.854128,Y,Y,,Y,,,Y,,Y,,,,,,,,
2024,Optus,810019,-12.377177,130.85052,,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,812001,-12.398405,130.889574,Y,Y,,Y,,,Y,,Y,,,,,,,,
2024,Optus,812002,-12.385932,130.912127,Y,Y,,Y,,,Y,,Y,,,,,,,,
2024,Optus,812004,-12.41520307,130.9191596,Y,Y,,Y,,Y,Y,,,,,,,,,,
2024,Optus,812006,-12.405276,130.879297,Y,Y,,Y,,,Y,,Y,,,,,,,,
2024,Optus,812007,-12.37106,130.90663,Y,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,812008,-12.4038,130.9096,Y,Y,,Y,,Y,Y,,Y,Y,Y,,,,,,
2024,Optus,812012,-12.39592,130.92311,Y,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,820004,-12.434024,130.852724,Y,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,820009,-12.451323,130.82703,Y,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,820010,-12.435207,130.841836,Y,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,820011,-12.424179,130.852633,Y,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,820012,-12.448007,130.839817,Y,Y,,Y,,,Y,,Y,,,,,,,,
2024,Optus,820014,-12.427167,130.899521,Y,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,820017,-12.426155,130.877261,Y,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,822055,-12.440421,130.746358,Y,Y,,Y,,,Y,,Y,,,,,,,,
2024,Optus,822056,-12.813438,130.986967,Y,Y,,Y,,Y,,,Y,,,,,,,,
2024,Optus,822057,-12.583952,131.244139,Y,Y,,Y,,Y,,,Y,,,,,,,,
2024,Optus,822072,-12.46142,130.92699,,Y,,Y,,Y,Y,,,,,,,,,,
2024,Optus,822087,-12.985684,131.143492,Y,Y,,Y,,,,,,,,,,,,,
2024,Optus,822089,-13.109367,130.793267,,Y,,,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),2
2024,Optus,822090,-13.6061,132.2201,,Y,,,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),2
2024,Optus,822091,-13.164608,130.679087,,Y,,,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),2
2024,Optus,822093,-13.12293,130.69571,Y,Y,,Y,Y,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),2
2024,Optus,822102,-12.899765,131.675696,,Y,,,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),2
2024,Optus,822106,-12.42654,132.95842,,Y,,Y,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),5
2024,Optus,822107,-12.481606,131.728776,,Y,,Y,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),4
2024,Optus,822109,-13.787264,131.351056,,Y,,Y,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),5
2024,Optus,822110,-13.247436,130.814953,,Y,,Y,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),4
2024,Optus,828003,-12.47615656,130.918274,Y,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,828004,-12.433423,130.918201,Y,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,828006,-12.437899,130.948938,Y,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,828007,-12.44313,130.90731,,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,829001,-12.461156,130.961524,,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,829002,-12.43633,130.974911,Y,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,829003,-12.475956,131.003963,Y,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,830001,-12.493422,130.986838,Y,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,830004,-12.51044,130.96465,Y,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,830005,-12.476848,130.981184,Y,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,830007,-12.501,130.9786,Y,Y,,Y,,Y,Y,,,,,,,,,,
2024,Optus,830013,-12.47825,130.98536,Y,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,832001,-12.515353,130.991046,Y,Y,,Y,,,Y,,Y,,,,,,,,
2024,Optus,832002,-12.4906003,131.0000771,Y,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,835001,-12.482608,131.0739,Y,Y,,Y,,Y,,,,,,,,,,,
2024,Optus,835002,-12.500142,131.032313,Y,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,835005,-12.526889,131.072669,Y,Y,,Y,,,Y,,,,,,,,,,
2024,Optus,835006,-12.529221,131.048026,Y,Y,,Y,,,Y,,Y,,,,,,,,
2024,Optus,835007,-12.4956,131.016707,Y,Y,,Y,,Y,Y,,Y,,,,,,,,
2024,Optus,835012,-12.4558,131.03407,Y,Y,,Y,,,Y,,,,,,,,,,
2024,Optus,835013,-12.467246,131.081784,Y,,,Y,,Y,Y,,,,,,,,,,
2024,Optus,836001,-12.569443,131.098912,Y,Y,,Y,,Y,Y,,,,,,,,,,
2024,Optus,836002,-12.55416,131.151074,Y,Y,,Y,,,Y,,,,,,,,,,
2024,Optus,836004,-12.613242,131.151753,Y,Y,,Y,,,Y,,,,,,,,,,
2024,Optus,836005,-12.5922,131.146,Y,Y,,Y,,,Y,,,Y,Y,,,,,,
2024,Optus,836007,-12.52854,131.15516,Y,,,Y,,Y,Y,,,Y,Y,,,,,,
2024,Optus,837006,-12.64239,131.099634,Y,Y,,Y,,,Y,,,,,,,,,,
2024,Optus,838003,-12.69951362,131.0135755,Y,Y,,Y,,Y,,,Y,,,,,,,,
2024,Optus,845003,-13.049667,131.04488,Y,Y,,Y,,,,,,,,,,,,,
2024,Optus,846002,-13.2445411,131.1091369,Y,Y,,Y,,,,,Y,,,,,,,,
2024,Optus,850003,-14.44632,132.2954,Y,Y,,Y,,,,,,,,,,,,,
2024,Optus,850012,-14.465153,132.262424,Y,Y,,Y,,,,,Y,,,,,,,,
2024,Optus,850018,-14.52033,132.16011,Y,Y,,Y,,,,,,,,,,,,,
2024,Optus,852089,-16.6834,135.7265,,Y,,,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),2
2024,Optus,852094,-16.30749,133.38556,,Y,,,,,,,,,,,,,,,
2024,Optus,852095,-19.4368,134.20825,,Y,,,,,,,,,,,,,,,
2024,Optus,852096,-14.91826,133.06918,,Y,,,,,,,,,,,,,,,
2024,Optus,852099,-15.6176,131.1289,,Y,,,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),2
2024,Optus,852100,-16.543287,131.796673,,Y,,,,,,,,,,,,,,,
2024,Optus,852103,-15.5742,133.2149,,Y,,Y,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),4
2024,Optus,852104,-16.679644,133.412643,,Y,,Y,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),4
2024,Optus,852107,-16.486946,130.643636,,Y,,,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),2
