Year,MNO,RFNSA ID,Latitude,Longitude,GSM900,IoT700,WCDMA850,WCDMA2100,LTE700,LTE850,LTE900,LTE1800,LTE2100,LTE2600,NR700,NR850,NR2100,NR2600,NR3600,NR26000,Co_funded,Co_contribution_program,Round
2024,Telstra,800002,-12.465,130.8425,,Y,Y,,Y,,,Y,Y,Y,,,,Y,,,,,
2024,Telstra,800004,-12.46,130.83528,,Y,Y,,Y,,,Y,,,,,,,,,,,
2024,Telstra,800005,-12.459874,130.84065,,Y,Y,,Y,,,Y,Y,Y,,,,,,,,,
2024,Telstra,800008,-12.4571,130.84692,,Y,Y,,Y,,,Y,,,,,,,,,,,
2024,Telstra,800018,-12.47093,130.84805,,Y,Y,,Y,,,Y,,,,,,,,,,,
2024,Telstra,800019,-12.45444,130.83708,,Y,Y,,Y,,,Y,Y,Y,,,,Y,,,,,
2024,Telstra,800022,-12.46271,130.839056,,Y,,,Y,,,Y,,Y,,,,,,,,,
2024,Telstra,800023,-12.44786,130.82997,,,Y,,,,,Y,,,,,,,,,,,
2024,Telstra,800024,-12.466587,130.842861,,,Y,,,,,,,,,,,,,,,,
2024,Telstra,800025,-12.46282,130.843643,,Y,,,Y,,,Y,Y,Y,,,,,,,,,
2024,Telstra,801003,-12.49862,131.00359,,Y,Y,,Y,,,Y,Y,Y,,,,Y,,,,,
2024,Telstra,810002,-12.35583,130.88167,,Y,Y,,Y,,,Y,,,,,,,,,,,
2024,Telstra,810004,-12.37306,130.88194,,Y,Y,,Y,,,Y,Y,Y,,,,Y,,,,,
2024,Telstra,810005,-12.38917,130.84889,,Y,Y,,Y,,,Y,Y,Y,,,,,,,,,
2024,Telstra,810006,-12.37389,130.8675,,Y,Y,,Y,,,Y,,,,,,,,,,,
2024,Telstra,810007,-12.3867,130.885,,Y,Y,,Y,,,Y,Y,Y,,,,,,,,,
2024,Telstra,810012,-12.3931063,130.8693437,,,Y,,,,,Y,,,,,,,,,,,
2024,Telstra,810015,-12.34619,130.89142,,Y,Y,,Y,,,Y,,,,,,,,,,,
2024,Telstra,810021,-12.39966,130.85546,,Y,Y,,Y,,,Y,Y,Y,,,,Y,,,,,
2024,Telstra,810023,-12.38696,130.86258,,Y,,,Y,,,,,,,,,,,,,,
2024,Telstra,812002,-12.38594,130.912128,,Y,Y,,Y,,,Y,,,,,,,,,,,
2024,Telstra,812003,-12.40139,130.88639,,Y,Y,,Y,,,Y,Y,Y,,,,,,,,,
2024,Telstra,812004,-12.415,130.91917,,Y,Y,,Y,,,Y,Y,Y,,,,Y,,,,,
2024,Telstra,812005,-12.36998,130.90594,,Y,Y,,Y,,,Y,,,,,,,,,,,
2024,Telstra,812009,-12.40046,130.91551,,Y,Y,,Y,,,Y,,Y,,,,Y,,,,,
2024,Telstra,812010,-12.38811,130.90257,,Y,Y,,Y,,,Y,,,,,,,,,,,
2024,Telstra,812011,-12.37829,130.89615,,Y,Y,,Y,,,Y,,,,,,,,,,,
2024,Telstra,820001,-12.42694,130.90139,,Y,Y,,Y,,,Y,,,,,,,,,,,
2024,Telstra,820002,-12.4215,130.84628,,Y,Y,,Y,,,Y,,Y,,,,Y,,,,,
2024,Telstra,820003,-12.43333,130.85583,,Y,Y,,Y,,,Y,,,,,,,,,,,
2024,Telstra,820006,-12.42583,130.88194,,Y,Y,,Y,,,Y,,,,,,,,,,,
2024,Telstra,820007,-12.43241,130.8417,,Y,Y,,Y,,,Y,,,,,,,,,,,
2024,Telstra,820008,-12.45009,130.82535,,Y,Y,,Y,,,Y,,Y,,,,,,,,,
2024,Telstra,820012,-12.44799,130.83986,,Y,Y,,Y,,,Y,Y,Y,,,,Y,,,,,
2024,Telstra,820016,-12.42757,130.86289,,Y,Y,,Y,,,Y,,,,,,,,,,,
2024,Telstra,822001,-12.75917,131.4675,,Y,Y,,Y,,,,,Y,,,,,,,,,
2024,Telstra,822002,-12.32389,133.05667,,Y,Y,,Y,,,,,Y,,,,,,,,,
2024,Telstra,822003,-12.32833,134.92639,,Y,Y,,Y,,,,,Y,,,,,,,,,
2024,Telstra,822004,-12.43504,130.7468,,Y,Y,,Y,,,,,,,,,,,,,,
2024,Telstra,822005,-12.02483,135.56501,,Y,Y,,Y,,,,,Y,,,,,,,,,
2024,Telstra,822006,-11.64806,133.38472,,Y,Y,,Y,,,,,Y,,,,,,,,,
2024,Telstra,822007,-13.75083,130.68917,,Y,Y,,Y,,,,,,,,,,,,,,
2024,Telstra,822008,-12.05532,134.23091,,Y,Y,,Y,,,,,Y,,,,Y,,,,,
2024,Telstra,822009,-11.40222,130.4175,,Y,Y,,Y,,,,,,,,,,,,,,
2024,Telstra,822010,-12.12233,134.90971,,Y,Y,,Y,,,,,,,,,,,,,,
2024,Telstra,822011,-11.42944,130.67139,,Y,Y,,Y,,,,,,,,,,,,,,
2024,Telstra,822012,-12.55417,131.06417,,Y,Y,,Y,,,Y,,,,,,,,,,,
2024,Telstra,822013,-13.16703,130.12308,,Y,,,Y,,,,,,,,,,,,,,
2024,Telstra,822022,-13.98229,136.44116,,Y,Y,,Y,,,,,Y,,,,,,,,,
2024,Telstra,822024,-13.54028,131.370856,,,Y,,,,,,,,,,,,,,,,
2024,Telstra,822025,-11.75639,130.63694,,Y,Y,,Y,,,,,Y,,,,,,,,,
2024,Telstra,822032,-11.1479,132.57398,,Y,Y,,Y,,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),1
2024,Telstra,822038,-14.24033,129.52,,Y,Y,,Y,,,,,Y,,,,,,,,,
2024,Telstra,822043,-14.351052,129.882057,,Y,Y,,Y,,,,,,,,,,,,,,
2024,Telstra,822052,-12.98568,131.14354,,Y,Y,,Y,,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),2
2024,Telstra,822060,-12.58457,131.24761,,Y,Y,,Y,,,,,Y,,,,,,,,,
2024,Telstra,822062,-12.445702,130.90421,,Y,,,Y,,,Y,Y,Y,,,,,,,,,
2024,Telstra,822063,-12.85584,131.81343,,Y,Y,,Y,,,,,,,,,,,,,,
2024,Telstra,822068,-14.15629,130.082,,Y,Y,,Y,,,,,,,,,,,,,,
2024,Telstra,822069,-12.26796,136.82388,,Y,Y,,Y,,,,,,,,,,,,,,
2024,Telstra,822076,-12.73084,130.94982,,Y,,,Y,,,,,,,,,,,,,,
2024,Telstra,822081,-13.734073,131.041466,,Y,,,Y,,,,,,,,,,,,,,
2024,Telstra,822082,-13.58231,131.45755,,,,,,,,,,Y,,,,,,,,,
2024,Telstra,822084,-12.56915,130.91796,,,,,,,,Y,,,,,,,,,,,
2024,Telstra,822084,-12.569423,130.919963,,,,,,,,Y,,,,,,,,,,,
2024,Telstra,822090,-13.60602,132.22046,,Y,,,Y,,,,,,,,,,,,,,
2024,Telstra,822092,-12.81834,130.62004,,Y,Y,,Y,,,,,,,,,,,,Y,Federal Mobile Black Spot Program (MBSP),2
2024,Telstra,822097,-12.53667,130.69887,,Y,Y,,Y,,,,,,,,,,,,,,
2024,Telstra,822100,-11.76948,130.891187,,Y,,,Y,,,,,,,,,,,,,,
2024,Telstra,822101,-12.567236,130.91626,,,,,,,,Y,,,,,,,,,,,
2024,Telstra,822103,-12.432888,132.9515,,Y,,,Y,,,,,,,,,,,,Y,REGIONAL CO-INVESTMENT: NT RTCP - Greenfield Macro,2
2024,Telstra,822105,-13.02534,130.95447,,Y,,,Y,,,,,,,,,,,,,,
2024,Telstra,822108,-13.8341,131.1865,,Y,,,Y,,,,,,,,,,,,,,
2024,Telstra,828001,-12.44,130.92917,,Y,Y,,Y,,,Y,Y,Y,,,,,,,,,
2024,Telstra,828003,-12.47611,130.91806,,Y,Y,,Y,,,Y,,,,,,,,,,,
2024,Telstra,829001,-12.46105,130.96154,,Y,Y,,Y,,,Y,,,,,,,,,,,
2024,Telstra,829002,-12.43633,130.97487,,Y,Y,,Y,,,Y,Y,Y,,,,,,,,,
2024,Telstra,829003,-12.476,131.00366,,,Y,,,,,Y,,Y,,,,,,,Y,Northern Territory Co-investment Northern Territory ISCA,
2024,Telstra,830001,-12.49333,130.98667,,Y,Y,,Y,,,Y,Y,Y,,,,,,,,,
2024,Telstra,830003,-12.50877,130.96407,,Y,Y,,Y,,,Y,,,,,,,,,,,
2024,Telstra,830006,-12.48552,130.96954,,Y,Y,,Y,,,Y,,Y,,,,Y,,,,,
2024,Telstra,830007,-12.50099,130.97858,,Y,Y,,Y,,,Y,Y,Y,,,,Y,,,,,
2024,Telstra,830010,-12.4716,130.982988,,,,,,,,Y,,Y,,,,,,,,,
2024,Telstra,830012,-12.47918,130.98633,,Y,Y,,Y,,,Y,Y,Y,,,,Y,,,,,
2024,Telstra,831001,-12.45944,130.97611,,Y,Y,,Y,,,Y,Y,Y,,,,Y,,,,,
2024,Telstra,832001,-12.51533,130.9911,,Y,Y,,Y,,,Y,Y,Y,,,,,,,,,
2024,Telstra,835001,-12.48268,131.07386,,Y,Y,,Y,,,Y,,,,,,,,,,,
2024,Telstra,835003,-12.51478,131.02913,,Y,Y,,Y,,,Y,Y,Y,,,,,,,,,
2024,Telstra,835004,-12.48389,131.02556,,Y,Y,,Y,,,Y,Y,Y,,,,Y,,,,,
2024,Telstra,835005,-12.52689,131.07267,,Y,Y,,Y,,,Y,,,,,,,,,,,
2024,Telstra,835011,-12.555369,131.028672,,Y,,,Y,,,Y,,,,,,,,,,,
2024,Telstra,835014,-12.49694,131.044377,,Y,,,Y,,,,,,,,,,,,,,
2024,Telstra,836001,-12.56944,131.09889,,Y,Y,,Y,,,Y,,,,,,,,,,,
2024,Telstra,836002,-12.55419,131.15106,,Y,Y,,Y,,,Y,,Y,,,,Y,,,,,
2024,Telstra,836005,-12.59224,131.14555,,Y,Y,,Y,,,Y,,,,,,,,,,,
2024,Telstra,836006,-12.5268,131.113,,Y,,,Y,,,Y,,,,,,,,,,,
2024,Telstra,837002,-12.6325,131.075,,Y,Y,,Y,,,,,,,,,,,,,,
2024,Telstra,837004,-12.6775,131.13639,,Y,Y,,Y,,,Y,,Y,,,,Y,,,,,
2024,Telstra,838003,-12.69944,131.01361,,Y,Y,,Y,,,Y,,,,,,,,,,,
2024,Telstra,839001,-12.52524,131.04297,,Y,,,Y,,,,,,,,,,,,,,
2024,Telstra,840003,-12.7588,130.35935,,Y,Y,,Y,,,,,Y,,,,,,,,,
2024,Telstra,841001,-12.81361,130.9876,,Y,Y,,Y,,,,,,,,,,,,,,
2024,Telstra,845001,-13.04612,131.02713,,Y,Y,,Y,,,,,,,,,,,,,,
2024,Telstra,846001,-13.52327,131.48623,,Y,Y,,Y,,,,,,,,,,,,,,
2024,Telstra,846002,-13.24444,131.10889,,Y,Y,,Y,,,,,,,,,,,,,,
2024,Telstra,847001,-14.08536,131.98417,,Y,Y,,Y,,,,,,,,,,,,,,
2024,Telstra,847002,-13.8275,131.83417,,Y,Y,,Y,,,,,,,,,,,,,,
2024,Telstra,850002,-14.47222,132.27889,,Y,Y,,Y,,,,,Y,,,,,,,,,
2024,Telstra,850004,-14.48139,132.24472,,Y,Y,,Y,Y,,,,Y,,,,Y,,,,,
2024,Telstra,850008,-14.32556,132.4175,,,Y,,,,,,,,,,,,,,,,
2024,Telstra,850009,-14.43944,132.27389,,Y,Y,,Y,,,,,Y,,,,,,,,,
2024,Telstra,850016,-14.46234,132.26288,,Y,Y,,Y,,,,,Y,,,,,,,,,
2024,Telstra,850018,-14.52033,132.16011,,Y,Y,,Y,,,,,Y,,,,,,,,,
2024,Telstra,850022,-14.46908,132.29129,,Y,,,Y,,,,Y,Y,,,,Y,,,,,
2024,Telstra,852001,-18.33139,130.63417,,Y,Y,,Y,,,,,Y,,,,,,,,,
2024,Telstra,852002,-14.73361,134.73278,,Y,Y,,Y,,,,,Y,,,,,,,,,
2024,Telstra,852003,-14.27917,135.74,,Y,Y,,Y,,,,,Y,,,,,,,,,
2024,Telstra,852004,-15.65639,130.47889,,Y,Y,,Y,,,,,,,,,,,,,,
2024,Telstra,852005,-14.93528,133.05944,,Y,Y,,Y,,,,,Y,,,,,,,,,
2024,Telstra,852006,-16.30694,133.38639,,Y,Y,,Y,,,,,,,,,,,,,,
2024,Telstra,852007,-14.51917,132.86806,,Y,Y,,Y,,,,,,,,,,,,,,
2024,Telstra,852008,-14.55307,133.11544,,Y,Y,,Y,,,,,,,,,,,,,,
2024,Telstra,852009,-17.44192,130.82986,,Y,Y,,Y,,,,,Y,,,,,,,,,
2024,Telstra,852045,-15.5443,133.187263,,Y,,,Y,,,,,,,,,,,,Y,Northern Territory Co-investment Northern Territory ISCA,
2024,Telstra,852058,-16.43509,136.09167,,Y,Y,,Y,,,,,Y,,,,,,,,,
2024,Telstra,852060,-14.28053,132.83458,,Y,Y,,Y,,,,,,,,,,,,,,
2024,Telstra,852083,-15.60101,130.45469,,,Y,,,,,,,,,,,,,,,,
2024,Telstra,852084,-17.06557,133.412,,,Y,,,,,,,,,,,,,,,,
2024,Telstra,852088,-14.95327,133.300054,,,,,,,,,,Y,,,,,,,,,
2024,Telstra,852089,-16.6839,135.7267,,Y,,,Y,,,,,,,,,,,,,,
2024,Telstra,852090,-15.22066,134.08211,,Y,Y,,Y,,,,,,,,,,,,,,
2024,Telstra,852091,-16.44813,130.88422,,Y,Y,,Y,,,,,,,,,,,,,,
2024,Telstra,852092,-13.67225,134.34067,,Y,Y,,Y,,,,,,,,,,,,,,
2024,Telstra,852100,-16.54332,131.796776,,Y,,,Y,,,,,,,,,,,,Y,Northern Territory Co-investment Northern Territory ISCA,
2024,Telstra,852101,-15.766319,131.819881,,Y,Y,,Y,,,,,,,,,,,,,,
2024,Telstra,852104,-16.679733,133.412916,,Y,,,Y,,,,,,,,,,,,,,
2024,Telstra,852106,-15.76711,130.040139,,Y,Y,,Y,,,,,,,,,,,,Y,Northern Territory Co-investment Northern Territory ISCA,
2024,Telstra,852107,-16.48793,130.64386,,Y,,,Y,,,,,,,,,,,,,,
2024,Telstra,852108,-17.053,129.01027,,Y,,,Y,,,,,,,,,,,,,,
2024,Telstra,852109,-16.42911,135.19785,,Y,,,Y,,,,,,,,,,,,,,
2024,Telstra,852114,-15.20843,129.450337,,Y,,,Y,,,,,,,,,,,,,,
2024,Telstra,852115,-15.23523,129.335708,,Y,,,Y,,,,,,,,,,,,,,
2024,Telstra,852118,-16.63386,129.3272,,Y,,,Y,,,,,,,,,,,,,,
