Year,MNO,RFNSA ID,Latitude,Longitude,NBIoT850,LTE700,LTE850,LTE1800,LTE2100,NR700,NR1800,NR2100,NR3600,NR26000,Co_funded,Co_contribution_program,Round
2024,TPG,800002,-12.4651,130.8425,,,Y,Y,Y,Y,,,,,,,
2024,TPG,800003,-12.46072,130.83859,,,Y,Y,Y,,,,,,,,
2024,TPG,800006,-12.45898721,130.8369061,,,Y,Y,Y,,,,,,,,
2024,TPG,800007,-12.46354234,130.8436801,,,Y,Y,Y,,,,,,,,
2024,TPG,800020,-12.4655,130.8471,,,Y,Y,Y,,,,,,,,
2024,TPG,810001,-12.38376,130.85708,,,Y,Y,Y,,,,,,,,
2024,TPG,810002,-12.35583,130.88167,,,Y,Y,Y,,,,,,,,
2024,TPG,810003,-12.37569,130.88187,,,Y,Y,Y,,,,,,,,
2024,TPG,810003,-12.372949,130.881831,,,Y,Y,,,,Y,,,,,
2024,TPG,810005,-12.3893,130.8491,,,Y,Y,Y,,,,,,,,
2024,TPG,810006,-12.3739,130.8674,,,Y,Y,Y,,,,,,,,
2024,TPG,810007,-12.3867,130.885,,,Y,,Y,,,,,,,,
2024,TPG,810012,-12.3931,130.8693,,,Y,Y,,,,,,,,,
2024,TPG,810013,-12.40055,130.85414,,,Y,,Y,,,,,,,,
2024,TPG,812001,-12.39844,130.88957,,,Y,Y,Y,Y,,,,,,,
2024,TPG,812002,-12.38594,130.91213,,,Y,,Y,,,,,,,,
2024,TPG,812004,-12.4152,130.9192,,,Y,Y,Y,,,,,,,,
2024,TPG,812006,-12.4053,130.8793,,,Y,Y,,,,,,,,,
2024,TPG,812007,-12.36998,130.90596,,,Y,Y,Y,,,,,,,,
2024,TPG,812008,-12.40377,130.90959,,,Y,Y,Y,Y,,,,,,,
2024,TPG,820004,-12.433994,130.852727,,,Y,Y,Y,,,,,,,,
2024,TPG,820009,-12.451,130.8271,,,Y,Y,Y,,,,,,,,
2024,TPG,820010,-12.4352,130.8419,,,Y,Y,Y,,,,,,,,
2024,TPG,820011,-12.4242,130.8526,,,Y,Y,,,,,,,,,
2024,TPG,820012,-12.448,130.8398,,,Y,Y,Y,,,,,,,,
2024,TPG,820014,-12.4271,130.8995,,,Y,Y,,,,,,,,,
2024,TPG,820017,-12.4261,130.8773,,,Y,Y,Y,,,,,,,,
2024,TPG,828003,-12.4762,130.9183,,,Y,Y,Y,,,,,,,,
2024,TPG,828004,-12.43342,130.91819,,,Y,Y,Y,,,,,,,,
2024,TPG,828006,-12.4379,130.9489,,,Y,Y,Y,,,,,,,,
2024,TPG,829002,-12.43633,130.97487,,,Y,Y,Y,,,,,,,,
2024,TPG,829003,-12.476,131.00366,,,Y,Y,Y,Y,,,,,,,
2024,TPG,830001,-12.4933477,130.9868091,,,Y,Y,Y,,,,,,,,
2024,TPG,830004,-12.5104,130.9646,,,Y,Y,Y,,,,,,,,
2024,TPG,830010,-12.47197,130.98297,,,Y,Y,Y,Y,,,,,,,
2024,TPG,830013,-12.47825,130.98536,,,Y,Y,Y,Y,,,,,,,
2024,TPG,832001,-12.515354,130.991015,,,Y,Y,Y,,,,,,,,
2024,TPG,832002,-12.4906,131.000103,,,Y,Y,Y,,,,,,,,
2024,TPG,835001,-12.48268,131.07386,,,Y,Y,Y,Y,,,,,,,
2024,TPG,835002,-12.5001,131.0323,,,Y,Y,Y,,,,,,,,
2024,TPG,835006,-12.5293,131.0481,,,Y,Y,Y,,,,,,,,
2024,TPG,835007,-12.4956,131.0167,,,Y,Y,Y,,,,,,,,
2024,TPG,836001,-12.56944,131.09889,,,Y,Y,Y,Y,,,,,,,
2024,TPG,836002,-12.55419,131.15106,,,Y,Y,Y,,,,,,,,
2024,TPG,836004,-12.613261,131.151729,,,Y,Y,Y,,,,,,,,
2024,TPG,838003,-12.69944,131.01361,,,Y,,Y,,,,,,,,
2024,TPG,850003,-14.44632,132.2954,,,Y,,,,,,,,,,
2024,TPG,870002,-23.80064,133.90006,,,Y,,Y,,,,,,,,
2024,TPG,870003,-23.69815,133.87351,,,Y,,Y,,,,,,,,
2024,TPG,870030,-23.72255,133.85758,,,Y,,,,,,,,,,
2024,TPG,871001,-23.67308,133.86993,,,Y,,,,,,,,,,
2024,TPG,872003,-25.24257,130.98404,,,Y,,,,,,,,,,
2024,TPG,886001,-12.66946,132.83453,,,Y,,,,,,,,,,
2024,TPG,2000003,-33.869785,151.204624,,,Y,Y,Y,Y,,,Y,,,,
2024,TPG,2000006,-33.87492,151.20596,,,Y,Y,Y,,,,,,,,
2024,TPG,2000008,-33.875028,151.207071,,,Y,Y,Y,,,Y,,,,,
